Lieu	N° région, département	Série	Unité	2006	2007	2008
ALLIER	03	ES17Médiane du niveau de vie des individus	Euros	16458.0	16902.0	17743.0
ALLIER	03	ES17Premier décile du niveau de vie des individus	Euros	9587.0	9793.0	10263.0
ALLIER	03	ES17Neuvième décile du niveau de vie des individus	Euros	29714.0	30246.0	30889.0
ALLIER	03	ES17Taux de pauvreté à 60%	%	14.3	14.9	14.5
ALLIER	03	ES17Taux de pauvreté à 50%	%	7.4	7.5	7.5
ALLIER	03	ES17Taux de pauvreté à 40%	%	3.0	2.9	2.9
ALPES-DE-HAUTE-PROVENCE	04	ES17Moyenne du revenu disponible des ménages	Euros	29147.0	29968.0	30980.0
ALPES-DE-HAUTE-PROVENCE	04	ES17Médiane du revenu disponible des ménages	Euros	24522.0	25263.0	25984.0
ALPES-DE-HAUTE-PROVENCE	04	ES17Premier décile du revenu disponible des ménages	Euros	10772.0	11309.0	11503.0
ALPES-DE-HAUTE-PROVENCE	04	ES17Neuvième décile du revenu disponible des ménages	Euros	51565.0	52377.0	54412.0
ALPES-DE-HAUTE-PROVENCE	04	ES17Moyenne du niveau de vie des individus	Euros	18981.0	19524.0	20444.0
ALPES-DE-HAUTE-PROVENCE	04	ES17Médiane du niveau de vie des individus	Euros	16623.0	17118.0	18025.0
ALPES-DE-HAUTE-PROVENCE	04	ES17Premier décile du niveau de vie des individus	Euros	9140.0	9403.0	10001.0
ALPES-DE-HAUTE-PROVENCE	04	ES17Neuvième décile du niveau de vie des individus	Euros	30505.0	31052.0	32391.0
ALPES-DE-HAUTE-PROVENCE	04	ES17Taux de pauvreté à 60%	%	15.8	16.0	15.3
ALPES-DE-HAUTE-PROVENCE	04	ES17Taux de pauvreté à 50%	%	9.0	8.9	8.6
ALPES-DE-HAUTE-PROVENCE	04	ES17Taux de pauvreté à 40%	%	4.4	4.0	3.9
ALPES-MARITIMES	06	ES17Moyenne du revenu disponible des ménages	Euros	32061.0	33146.0	34490.0
ALPES-MARITIMES	06	ES17Médiane du revenu disponible des ménages	Euros	25611.0	26537.0	27258.0
ALPES-MARITIMES	06	ES17Premier décile du revenu disponible des ménages	Euros	11413.0	11929.0	12085.0
ALPES-MARITIMES	06	ES17Neuvième décile du revenu disponible des ménages	Euros	58075.0	59400.0	61975.0
ALPES-MARITIMES	06	ES17Moyenne du niveau de vie des individus	Euros	21298.0	22071.0	23121.0
ALPES-MARITIMES	06	ES17Médiane du niveau de vie des individus	Euros	17953.0	18651.0	19423.0
ALPES-MARITIMES	06	ES17Premier décile du niveau de vie des individus	Euros	9460.0	9827.0	10307.0
ALPES-MARITIMES	06	ES17Neuvième décile du niveau de vie des individus	Euros	35485.0	36382.0	38201.0
ALPES-MARITIMES	06	ES17Taux de pauvreté à 60%	%	13.9	13.9	13.8
ALPES-MARITIMES	06	ES17Taux de pauvreté à 50%	%	8.1	7.9	7.9
ALPES-MARITIMES	06	ES17Taux de pauvreté à 40%	%	3.9	3.5	3.5
ALSACE	42	ES17Moyenne du revenu disponible des ménages	Euros	34420.0	35020.0	36233.0
ALSACE	42	ES17Médiane du revenu disponible des ménages	Euros	29428.0	29906.0	30672.0
ALSACE	42	ES17Premier décile du revenu disponible des ménages	Euros	13175.0	13533.0	13752.0
ALSACE	42	ES17Neuvième décile du revenu disponible des ménages	Euros	59541.0	60085.0	62442.0
ALSACE	42	ES17Moyenne du niveau de vie des individus	Euros	21284.0	21793.0	22753.0
ALSACE	42	ES17Médiane du niveau de vie des individus	Euros	18687.0	19192.0	19916.0
ALSACE	42	ES17Premier décile du niveau de vie des individus	Euros	10468.0	10693.0	11178.0
ALSACE	42	ES17Neuvième décile du niveau de vie des individus	Euros	33575.0	34043.0	35750.0
ALSACE	42	ES17Taux de pauvreté à 60%	%	10.3	10.7	10.6
ALSACE	42	ES17Taux de pauvreté à 50%	%	5.4	5.6	5.7
ALSACE	42	ES17Taux de pauvreté à 40%	%	2.1	2.1	2.2
AQUITAINE	72	ES17Moyenne du revenu disponible des ménages	Euros	31019.0	31778.0	32939.0
AQUITAINE	72	ES17Médiane du revenu disponible des ménages	Euros	26110.0	26812.0	27566.0
AQUITAINE	72	ES17Premier décile du revenu disponible des ménages	Euros	11478.0	12024.0	12285.0
AQUITAINE	72	ES17Neuvième décile du revenu disponible des ménages	Euros	54290.0	55199.0	57115.0
AQUITAINE	72	ES17Moyenne du niveau de vie des individus	Euros	19933.0	20508.0	21448.0
AQUITAINE	72	ES17Médiane du niveau de vie des individus	Euros	17324.0	17891.0	18723.0
AQUITAINE	72	ES17Premier décile du niveau de vie des individus	Euros	9828.0	10108.0	10622.0
AQUITAINE	72	ES17Neuvième décile du niveau de vie des individus	Euros	31681.0	32384.0	33752.0
AQUITAINE	72	ES17Taux de pauvreté à 60%	%	12.8	13.1	12.7
AQUITAINE	72	ES17Taux de pauvreté à 50%	%	6.8	6.9	6.8
AQUITAINE	72	ES17Taux de pauvreté à 40%	%	2.9	2.8	2.8
ARDECHE	07	ES17Moyenne du revenu disponible des ménages	Euros	29673.0	30229.0	31453.0
ARDECHE	07	ES17Médiane du revenu disponible des ménages	Euros	25443.0	26008.0	26880.0
ARDECHE	07	ES17Premier décile du revenu disponible des ménages	Euros	11257.0	11795.0	12067.0
ARDECHE	07	ES17Neuvième décile du revenu disponible des ménages	Euros	50935.0	51573.0	53704.0
ARDECHE	07	ES17Moyenne du niveau de vie des individus	Euros	18761.0	19187.0	20165.0
ARDECHE	07	ES17Médiane du niveau de vie des individus	Euros	16563.0	17001.0	17969.0
ARDECHE	07	ES17Premier décile du niveau de vie des individus	Euros	9545.0	9786.0	10361.0
ARDECHE	07	ES17Neuvième décile du niveau de vie des individus	Euros	28961.0	29589.0	30823.0
ARDECHE	07	ES17Taux de pauvreté à 60%	%	14.3	14.7	14.0
ARDECHE	07	ES17Taux de pauvreté à 50%	%	7.6	7.7	7.4
ARDECHE	07	ES17Taux de pauvreté à 40%	%	3.6	3.2	3.1
ARDENNES	08	ES17Moyenne du revenu disponible des ménages	Euros	29070.0	29649.0	30844.0
ARDENNES	08	ES17Médiane du revenu disponible des ménages	Euros	24768.0	25264.0	25977.0
ARDENNES	08	ES17Premier décile du revenu disponible des ménages	Euros	11414.0	11816.0	12018.0
ARDENNES	08	ES17Neuvième décile du revenu disponible des ménages	Euros	49872.0	50643.0	52727.0
ARDENNES	08	ES17Moyenne du niveau de vie des individus	Euros	18013.0	18448.0	19450.0
ARDENNES	08	ES17Médiane du niveau de vie des individus	Euros	15831.0	16271.0	17219.0
ARDENNES	08	ES17Premier décile du niveau de vie des individus	Euros	8961.0	9149.0	9597.0
ARDENNES	08	ES17Neuvième décile du niveau de vie des individus	Euros	28098.0	28697.0	29932.0
ARDENNES	08	ES17Taux de pauvreté à 60%	%	17.5	18.3	17.4
ARDENNES	08	ES17Taux de pauvreté à 50%	%	9.4	9.7	9.6
ARDENNES	08	ES17Taux de pauvreté à 40%	%	3.6	3.6	3.7
ARIEGE	09	ES17Moyenne du revenu disponible des ménages	Euros	27958.0	28581.0	29484.0
ARIEGE	09	ES17Médiane du revenu disponible des ménages	Euros	23820.0	24427.0	25080.0
ARIEGE	09	ES17Premier décile du revenu disponible des ménages	Euros	10444.0	10882.0	11014.0
ARIEGE	09	ES17Neuvième décile du revenu disponible des ménages	Euros	48863.0	49362.0	51198.0
ARIEGE	09	ES17Moyenne du niveau de vie des individus	Euros	18234.0	18666.0	19481.0
ARIEGE	09	ES17Médiane du niveau de vie des individus	Euros	16135.0	16545.0	17468.0
ARIEGE	09	ES17Premier décile du niveau de vie des individus	Euros	8967.0	9165.0	9607.0
ARIEGE	09	ES17Neuvième décile du niveau de vie des individus	Euros	28736.0	29350.0	30246.0
ARIEGE	09	ES17Taux de pauvreté à 60%	%	16.7	17.5	16.9
ARIEGE	09	ES17Taux de pauvreté à 50%	%	9.4	9.7	9.7
ARIEGE	09	ES17Taux de pauvreté à 40%	%	4.4	4.1	4.1
AUBE	10	ES17Moyenne du revenu disponible des ménages	Euros	30671.0	31294.0	32768.0
AUBE	10	ES17Médiane du revenu disponible des ménages	Euros	25846.0	26436.0	27132.0
AUBE	10	ES17Premier décile du revenu disponible des ménages	Euros	11969.0	12421.0	12650.0
AUBE	10	ES17Neuvième décile du revenu disponible des ménages	Euros	52857.0	53461.0	56122.0
AUBE	10	ES17Moyenne du niveau de vie des individus	Euros	19510.0	20000.0	21166.0
AUBE	10	ES17Médiane du niveau de vie des individus	Euros	16881.0	17356.0	18257.0
AUBE	10	ES17Premier décile du niveau de vie des individus	Euros	9637.0	9835.0	10375.0
AUBE	10	ES17Neuvième décile du niveau de vie des individus	Euros	30881.0	31457.0	33284.0
AUBE	10	ES17Taux de pauvreté à 60%	%	13.7	14.1	13.7
AUBE	10	ES17Taux de pauvreté à 50%	%	7.3	7.5	7.4
AUBE	10	ES17Taux de pauvreté à 40%	%	2.8	2.8	2.9
AUDE	11	ES17Moyenne du revenu disponible des ménages	Euros	27517.0	28151.0	29195.0
AUDE	11	ES17Médiane du revenu disponible des ménages	Euros	23037.0	23641.0	24400.0
AUDE	11	ES17Premier décile du revenu disponible des ménages	Euros	10298.0	10756.0	10928.0
AUDE	11	ES17Neuvième décile du revenu disponible des ménages	Euros	48160.0	48932.0	50664.0
AUDE	11	ES17Moyenne du niveau de vie des individus	Euros	17893.0	18334.0	19218.0
AUDE	11	ES17Médiane du niveau de vie des individus	Euros	15575.0	15983.0	16926.0
AUDE	11	ES17Premier décile du niveau de vie des individus	Euros	8457.0	8722.0	9172.0
AUDE	11	ES17Neuvième décile du niveau de vie des individus	Euros	28597.0	29246.0	30143.0
AUDE	11	ES17Taux de pauvreté à 60%	%	19.4	20.0	19.3
AUDE	11	ES17Taux de pauvreté à 50%	%	11.2	11.4	11.2
AUDE	11	ES17Taux de pauvreté à 40%	%	5.0	4.6	4.6
AUVERGNE	83	ES17Moyenne du revenu disponible des ménages	Euros	29622.0	30282.0	31282.0
AUVERGNE	83	ES17Médiane du revenu disponible des ménages	Euros	24963.0	25640.0	26289.0
AUVERGNE	83	ES17Premier décile du revenu disponible des ménages	Euros	11238.0	11701.0	11967.0
AUVERGNE	83	ES17Neuvième décile du revenu disponible des ménages	Euros	51589.0	52353.0	53940.0
AUVERGNE	83	ES17Moyenne du niveau de vie des individus	Euros	19309.0	19813.0	20673.0
AUVERGNE	83	ES17Médiane du niveau de vie des individus	Euros	16853.0	17356.0	18232.0
AUVERGNE	83	ES17Premier décile du niveau de vie des individus	Euros	9654.0	9919.0	10438.0
AUVERGNE	83	ES17Neuvième décile du niveau de vie des individus	Euros	30487.0	31128.0	32099.0
AUVERGNE	83	ES17Taux de pauvreté à 60%	%	13.8	14.1	13.6
AUVERGNE	83	ES17Taux de pauvreté à 50%	%	7.2	7.3	7.2
AUVERGNE	83	ES17Taux de pauvreté à 40%	%	3.2	2.9	2.9
AVEYRON	12	ES17Moyenne du revenu disponible des ménages	Euros	28948.0	29465.0	30560.0
AVEYRON	12	ES17Médiane du revenu disponible des ménages	Euros	24311.0	24891.0	25613.0
AVEYRON	12	ES17Premier décile du revenu disponible des ménages	Euros	10760.0	11233.0	11519.0
AVEYRON	12	ES17Neuvième décile du revenu disponible des ménages	Euros	50421.0	50925.0	52662.0
AVEYRON	12	ES17Moyenne du niveau de vie des individus	Euros	18779.0	19189.0	20131.0
AVEYRON	12	ES17Médiane du niveau de vie des individus	Euros	16476.0	16840.0	17870.0
AVEYRON	12	ES17Premier décile du niveau de vie des individus	Euros	9508.0	9635.0	10132.0
AVEYRON	12	ES17Neuvième décile du niveau de vie des individus	Euros	29565.0	30062.0	31112.0
AVEYRON	12	ES17Taux de pauvreté à 60%	%	14.6	15.6	15.0
AVEYRON	12	ES17Taux de pauvreté à 50%	%	7.7	8.0	8.0
AVEYRON	12	ES17Taux de pauvreté à 40%	%	3.8	3.5	3.5
BAS-RHIN	67	ES17Moyenne du revenu disponible des ménages	Euros	34371.0	35064.0	36285.0
BAS-RHIN	67	ES17Médiane du revenu disponible des ménages	Euros	29381.0	29882.0	30684.0
BAS-RHIN	67	ES17Premier décile du revenu disponible des ménages	Euros	13052.0	13442.0	13677.0
BAS-RHIN	67	ES17Neuvième décile du revenu disponible des ménages	Euros	59295.0	59983.0	62312.0
BAS-RHIN	67	ES17Moyenne du niveau de vie des individus	Euros	21253.0	21826.0	22773.0
BAS-RHIN	67	ES17Médiane du niveau de vie des individus	Euros	18646.0	19185.0	19897.0
BAS-RHIN	67	ES17Premier décile du niveau de vie des individus	Euros	10441.0	10681.0	11186.0
BAS-RHIN	67	ES17Neuvième décile du niveau de vie des individus	Euros	33346.0	33937.0	35587.0
BAS-RHIN	67	ES17Taux de pauvreté à 60%	%	10.4	10.7	10.6
BAS-RHIN	67	ES17Taux de pauvreté à 50%	%	5.5	5.6	5.7
BAS-RHIN	67	ES17Taux de pauvreté à 40%	%	2.1	2.1	2.2
BASSE NORMANDIE	25	ES17Moyenne du revenu disponible des ménages	Euros	30372.0	30975.0	32317.0
BASSE NORMANDIE	25	ES17Médiane du revenu disponible des ménages	Euros	25829.0	26466.0	27333.0
BASSE NORMANDIE	25	ES17Premier décile du revenu disponible des ménages	Euros	11741.0	12218.0	12553.0
BASSE NORMANDIE	25	ES17Neuvième décile du revenu disponible des ménages	Euros	52116.0	52763.0	54945.0
BASSE NORMANDIE	25	ES17Moyenne du niveau de vie des individus	Euros	19154.0	19618.0	20678.0
BASSE NORMANDIE	25	ES17Médiane du niveau de vie des individus	Euros	16727.0	17214.0	18205.0
BASSE NORMANDIE	25	ES17Premier décile du niveau de vie des individus	Euros	9841.0	10098.0	10653.0
BASSE NORMANDIE	25	ES17Neuvième décile du niveau de vie des individus	Euros	29755.0	30344.0	31575.0
BASSE NORMANDIE	25	ES17Taux de pauvreté à 60%	%	13.2	13.5	12.6
BASSE NORMANDIE	25	ES17Taux de pauvreté à 50%	%	6.5	6.7	6.5
BASSE NORMANDIE	25	ES17Taux de pauvreté à 40%	%	2.6	2.6	2.5
BOUCHES-DU-RHONE	13	ES17Moyenne du revenu disponible des ménages	Euros	31755.0	32563.0	33986.0
BOUCHES-DU-RHONE	13	ES17Médiane du revenu disponible des ménages	Euros	25922.0	26612.0	27416.0
BOUCHES-DU-RHONE	13	ES17Premier décile du revenu disponible des ménages	Euros	11428.0	11881.0	12063.0
BOUCHES-DU-RHONE	13	ES17Neuvième décile du revenu disponible des ménages	Euros	57003.0	58039.0	60663.0
BOUCHES-DU-RHONE	13	ES17Moyenne du niveau de vie des individus	Euros	19993.0	20586.0	21673.0
BOUCHES-DU-RHONE	13	ES17Médiane du niveau de vie des individus	Euros	17245.0	17786.0	18628.0
BOUCHES-DU-RHONE	13	ES17Premier décile du niveau de vie des individus	Euros	8859.0	9119.0	9583.0
BOUCHES-DU-RHONE	13	ES17Neuvième décile du niveau de vie des individus	Euros	32844.0	33554.0	35496.0
BOUCHES-DU-RHONE	13	ES17Taux de pauvreté à 60%	%	16.6	17.0	16.7
BOUCHES-DU-RHONE	13	ES17Taux de pauvreté à 50%	%	9.8	9.9	9.7
BOUCHES-DU-RHONE	13	ES17Taux de pauvreté à 40%	%	3.8	3.7	3.8
BOURGOGNE	26	ES17Moyenne du revenu disponible des ménages	Euros	30561.0	31168.0	32322.0
BOURGOGNE	26	ES17Médiane du revenu disponible des ménages	Euros	25958.0	26569.0	27241.0
BOURGOGNE	26	ES17Premier décile du revenu disponible des ménages	Euros	12133.0	12563.0	12834.0
BOURGOGNE	26	ES17Neuvième décile du revenu disponible des ménages	Euros	52517.0	53159.0	55083.0
BOURGOGNE	26	ES17Moyenne du niveau de vie des individus	Euros	19667.0	20148.0	21093.0
BOURGOGNE	26	ES17Médiane du niveau de vie des individus	Euros	17210.0	17738.0	18569.0
BOURGOGNE	26	ES17Premier décile du niveau de vie des individus	Euros	10077.0	10303.0	10809.0
BOURGOGNE	26	ES17Neuvième décile du niveau de vie des individus	Euros	30746.0	31279.0	32489.0
BOURGOGNE	26	ES17Taux de pauvreté à 60%	%	12.0	12.3	12.0
BOURGOGNE	26	ES17Taux de pauvreté à 50%	%	6.0	6.1	6.1
BOURGOGNE	26	ES17Taux de pauvreté à 40%	%	2.4	2.4	2.4
BRETAGNE	53	ES17Moyenne du revenu disponible des ménages	Euros	31050.0	31706.0	32846.0
BRETAGNE	53	ES17Médiane du revenu disponible des ménages	Euros	26350.0	27011.0	27768.0
BRETAGNE	53	ES17Premier décile du revenu disponible des ménages	Euros	11657.0	12169.0	12470.0
BRETAGNE	53	ES17Neuvième décile du revenu disponible des ménages	Euros	53997.0	54687.0	56525.0
BRETAGNE	53	ES17Moyenne du niveau de vie des individus	Euros	19845.0	20340.0	21262.0
BRETAGNE	53	ES17Médiane du niveau de vie des individus	Euros	17431.0	17954.0	18805.0
BRETAGNE	53	ES17Premier décile du niveau de vie des individus	Euros	10336.0	10563.0	11151.0
BRETAGNE	53	ES17Neuvième décile du niveau de vie des individus	Euros	30782.0	31407.0	32480.0
BRETAGNE	53	ES17Taux de pauvreté à 60%	%	10.9	11.2	10.8
BRETAGNE	53	ES17Taux de pauvreté à 50%	%	5.3	5.5	5.4
BRETAGNE	53	ES17Taux de pauvreté à 40%	%	2.3	2.2	2.2
CALVADOS	14	ES17Moyenne du revenu disponible des ménages	Euros	31469.0	32188.0	33568.0
CALVADOS	14	ES17Médiane du revenu disponible des ménages	Euros	26725.0	27402.0	28280.0
CALVADOS	14	ES17Premier décile du revenu disponible des ménages	Euros	12032.0	12505.0	12810.0
CALVADOS	14	ES17Neuvième décile du revenu disponible des ménages	Euros	54237.0	55044.0	57246.0
CALVADOS	14	ES17Moyenne du niveau de vie des individus	Euros	19743.0	20271.0	21352.0
CALVADOS	14	ES17Médiane du niveau de vie des individus	Euros	17170.0	17714.0	18633.0
CALVADOS	14	ES17Premier décile du niveau de vie des individus	Euros	9957.0	10222.0	10792.0
CALVADOS	14	ES17Neuvième décile du niveau de vie des individus	Euros	30924.0	31603.0	32932.0
CALVADOS	14	ES17Taux de pauvreté à 60%	%	12.5	12.8	12.0
CALVADOS	14	ES17Taux de pauvreté à 50%	%	6.3	6.3	6.2
CALVADOS	14	ES17Taux de pauvreté à 40%	%	2.3	2.4	2.4
CANTAL	15	ES17Moyenne du revenu disponible des ménages	Euros	27778.0	28584.0	29578.0
CANTAL	15	ES17Médiane du revenu disponible des ménages	Euros	23166.0	24070.0	24748.0
CANTAL	15	ES17Premier décile du revenu disponible des ménages	Euros	10208.0	10862.0	11176.0
CANTAL	15	ES17Neuvième décile du revenu disponible des ménages	Euros	48745.0	49780.0	51054.0
CANTAL	15	ES17Moyenne du niveau de vie des individus	Euros	18183.0	18764.0	19679.0
CANTAL	15	ES17Médiane du niveau de vie des individus	Euros	15824.0	16307.0	17419.0
CANTAL	15	ES17Premier décile du niveau de vie des individus	Euros	8934.0	9242.0	9742.0
CANTAL	15	ES17Neuvième décile du niveau de vie des individus	Euros	28910.0	29562.0	30451.0
CANTAL	15	ES17Taux de pauvreté à 60%	%	17.8	17.8	16.7
CANTAL	15	ES17Taux de pauvreté à 50%	%	9.6	9.3	9.1
CANTAL	15	ES17Taux de pauvreté à 40%	%	4.9	4.1	3.9
CENTRE	24	ES17Moyenne du revenu disponible des ménages	Euros	31770.0	32416.0	33669.0
CENTRE	24	ES17Médiane du revenu disponible des ménages	Euros	27288.0	27893.0	28695.0
CENTRE	24	ES17Premier décile du revenu disponible des ménages	Euros	12479.0	12932.0	13266.0
CENTRE	24	ES17Neuvième décile du revenu disponible des ménages	Euros	54609.0	55318.0	57443.0
CENTRE	24	ES17Moyenne du niveau de vie des individus	Euros	20102.0	20611.0	21581.0
CENTRE	24	ES17Médiane du niveau de vie des individus	Euros	17702.0	18247.0	19060.0
CENTRE	24	ES17Premier décile du niveau de vie des individus	Euros	10186.0	10466.0	11007.0
CENTRE	24	ES17Neuvième décile du niveau de vie des individus	Euros	31436.0	31989.0	33417.0
CENTRE	24	ES17Taux de pauvreté à 60%	%	11.4	11.6	11.2
CENTRE	24	ES17Taux de pauvreté à 50%	%	5.8	5.9	5.9
CENTRE	24	ES17Taux de pauvreté à 40%	%	2.3	2.3	2.3
CHAMPAGNE-ARDENNE	21	ES17Moyenne du revenu disponible des ménages	Euros	31002.0	31695.0	33139.0
CHAMPAGNE-ARDENNE	21	ES17Médiane du revenu disponible des ménages	Euros	26017.0	26624.0	27386.0
CHAMPAGNE-ARDENNE	21	ES17Premier décile du revenu disponible des ménages	Euros	11985.0	12419.0	12653.0
CHAMPAGNE-ARDENNE	21	ES17Neuvième décile du revenu disponible des ménages	Euros	53543.0	54319.0	56788.0
CHAMPAGNE-ARDENNE	21	ES17Moyenne du niveau de vie des individus	Euros	19552.0	20078.0	21228.0
CHAMPAGNE-ARDENNE	21	ES17Médiane du niveau de vie des individus	Euros	16890.0	17380.0	18298.0
CHAMPAGNE-ARDENNE	21	ES17Premier décile du niveau de vie des individus	Euros	9607.0	9818.0	10343.0
CHAMPAGNE-ARDENNE	21	ES17Neuvième décile du niveau de vie des individus	Euros	30993.0	31648.0	33332.0
CHAMPAGNE-ARDENNE	21	ES17Taux de pauvreté à 60%	%	14.0	14.5	13.9
CHAMPAGNE-ARDENNE	21	ES17Taux de pauvreté à 50%	%	7.4	7.5	7.5
CHAMPAGNE-ARDENNE	21	ES17Taux de pauvreté à 40%	%	2.8	2.8	2.9
CHARENTE	16	ES17Moyenne du revenu disponible des ménages	Euros	29400.0	30145.0	31315.0
CHARENTE	16	ES17Médiane du revenu disponible des ménages	Euros	25074.0	25778.0	26541.0
CHARENTE	16	ES17Premier décile du revenu disponible des ménages	Euros	11309.0	11796.0	12064.0
CHARENTE	16	ES17Neuvième décile du revenu disponible des ménages	Euros	50600.0	51533.0	53503.0
CHARENTE	16	ES17Moyenne du niveau de vie des individus	Euros	18897.0	19469.0	20432.0
CHARENTE	16	ES17Médiane du niveau de vie des individus	Euros	16665.0	17179.0	18088.0
CHARENTE	16	ES17Premier décile du niveau de vie des individus	Euros	9541.0	9806.0	10315.0
CHARENTE	16	ES17Neuvième décile du niveau de vie des individus	Euros	29488.0	30329.0	31475.0
CHARENTE	16	ES17Taux de pauvreté à 60%	%	14.4	14.7	14.1
CHARENTE	16	ES17Taux de pauvreté à 50%	%	7.6	7.5	7.5
CHARENTE	16	ES17Taux de pauvreté à 40%	%	3.2	2.9	2.9
CHARENTE-MARITIME	17	ES17Moyenne du revenu disponible des ménages	Euros	30055.0	30832.0	32158.0
CHARENTE-MARITIME	17	ES17Médiane du revenu disponible des ménages	Euros	25280.0	26092.0	27013.0
CHARENTE-MARITIME	17	ES17Premier décile du revenu disponible des ménages	Euros	11388.0	11942.0	12279.0
CHARENTE-MARITIME	17	ES17Neuvième décile du revenu disponible des ménages	Euros	51998.0	52902.0	55141.0
CHARENTE-MARITIME	17	ES17Moyenne du niveau de vie des individus	Euros	19484.0	20063.0	21103.0
CHARENTE-MARITIME	17	ES17Médiane du niveau de vie des individus	Euros	16777.0	17377.0	18330.0
CHARENTE-MARITIME	17	ES17Premier décile du niveau de vie des individus	Euros	9614.0	9911.0	10474.0
CHARENTE-MARITIME	17	ES17Neuvième décile du niveau de vie des individus	Euros	31088.0	31827.0	33219.0
CHARENTE-MARITIME	17	ES17Taux de pauvreté à 60%	%	14.1	14.1	13.3
CHARENTE-MARITIME	17	ES17Taux de pauvreté à 50%	%	7.3	7.3	7.1
CHARENTE-MARITIME	17	ES17Taux de pauvreté à 40%	%	3.1	2.9	2.8
CHER	18	ES17Moyenne du revenu disponible des ménages	Euros	29852.0	30380.0	31466.0
CHER	18	ES17Médiane du revenu disponible des ménages	Euros	25383.0	26027.0	26706.0
CHER	18	ES17Premier décile du revenu disponible des ménages	Euros	11785.0	12282.0	12570.0
CHER	18	ES17Neuvième décile du revenu disponible des ménages	Euros	51276.0	51741.0	53648.0
CHER	18	ES17Moyenne du niveau de vie des individus	Euros	19341.0	19762.0	20684.0
CHER	18	ES17Médiane du niveau de vie des individus	Euros	17036.0	17481.0	18368.0
CHER	18	ES17Premier décile du niveau de vie des individus	Euros	9752.0	10036.0	10521.0
CHER	18	ES17Neuvième décile du niveau de vie des individus	Euros	30165.0	30723.0	31845.0
CHER	18	ES17Taux de pauvreté à 60%	%	13.3	13.5	13.0
CHER	18	ES17Taux de pauvreté à 50%	%	6.9	7.0	7.0
CHER	18	ES17Taux de pauvreté à 40%	%	2.8	2.6	2.7
CORREZE	19	ES17Moyenne du revenu disponible des ménages	Euros	29320.0	29955.0	31057.0
CORREZE	19	ES17Médiane du revenu disponible des ménages	Euros	24815.0	25528.0	26247.0
CORREZE	19	ES17Premier décile du revenu disponible des ménages	Euros	11158.0	11717.0	12037.0
CORREZE	19	ES17Neuvième décile du revenu disponible des ménages	Euros	50820.0	51471.0	53315.0
CORREZE	19	ES17Moyenne du niveau de vie des individus	Euros	19331.0	19812.0	20741.0
CORREZE	19	ES17Médiane du niveau de vie des individus	Euros	16889.0	17409.0	18286.0
CORREZE	19	ES17Premier décile du niveau de vie des individus	Euros	9797.0	10057.0	10607.0
CORREZE	19	ES17Neuvième décile du niveau de vie des individus	Euros	30608.0	31014.0	32185.0
CORREZE	19	ES17Taux de pauvreté à 60%	%	13.3	13.5	13.0
CORREZE	19	ES17Taux de pauvreté à 50%	%	6.6	6.7	6.5
