Lieu	N° région, département	Série	Unité	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
AQUITAINE	72	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de 50 µg/m3 de PM10 en moyenne journalière en SFU	nombre	ND	ND	ND	60.0	26.0	45.0	60.0	35.0	33.0	37.0	30.0	46.0	29.0
AQUITAINE	72	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU	nombre	ND	ND	ND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AQUITAINE	72	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
AQUITAINE	72	AI05Nombre de capteurs concernés par un dépassement du seuil de protection de la santé humaine pour les PM10 (40 µg/m3 en moyenne annuelle) en SFU	nombre	ND	ND	ND	0.0	ND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AQUITAINE	72	AI05Nombre de capteurs analysant les PM10 à proximité du trafic automobile (PTA)	nombre	5.0	0.0	5.0	5.0	5.0	5.0	5.0	1.0	5.0	5.0	5.0	6.0	5.0
AQUITAINE	72	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en PTA	µg/m3	ND	ND	ND	32.0	ND	28.0	27.0	34.0	27.0	27.0	28.0	31.0	29.0
AUVERGNE	83	AI05Nombre de capteurs analysant les PM10 en situation de fond urbain (SFU)	nombre	3.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
AUVERGNE	83	AI05Population des unités urbaines dans lesquelles se trouvent des capteurs analysant les PM10 en SFU	nombre	260681.0	260681.0	260681.0	260681.0	260681.0	260681.0	260681.0	260681.0	260681.0	260681.0	260681.0	260681.0	260681.0
AUVERGNE	83	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en SFU	µg/m3	21.0	20.0	19.0	20.0	18.0	19.0	19.0	21.0	18.0	18.0	21.0	22.0	20.0
AUVERGNE	83	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour les PM10 (50 µg/m3 en moyenne sur 24h) en SFU	nombre	20.0	15.0	11.0	13.0	17.0	11.0	24.0	24.0	22.0	19.0	17.0	26.0	23.0
AUVERGNE	83	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU	nombre	12.0	12.0	8.5	8.7	12.0	5.0	16.0	14.7	16.7	12.0	15.0	21.0	15.3
AUVERGNE	83	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	12.0	12.0	8.5	8.7	12.0	5.0	16.0	22.0	16.7	12.0	15.0	21.0	15.3
AUVERGNE	83	AI05Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour les PM10 (80 µg/m3 en moyenne sur 24h) en SFU	nombre	0.0	0.0	0.0	0.0	4.0	0.0	5.0	5.0	0.0	6.0	2.0	4.0	4.0
AUVERGNE	83	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU	nombre	0.0	0.0	0.0	0.0	2.0	0.0	2.0	3.3	0.0	3.3	0.7	2.7	2.7
AUVERGNE	83	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	3.0	ND	3.0	5.0	ND	3.3	2.0	2.7	2.7
AUVERGNE	83	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de 50 µg/m3 de PM10 en moyenne journalière en SFU	nombre	10.0	8.0	5.0	6.0	9.0	4.0	16.0	14.0	13.0	9.0	8.0	18.0	13.0
AUVERGNE	83	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AUVERGNE	83	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
AUVERGNE	83	AI05Nombre de capteurs concernés par un dépassement du seuil de protection de la santé humaine pour les PM10 (40 µg/m3 en moyenne annuelle) en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AUVERGNE	83	AI05Nombre de capteurs analysant les PM10 à proximité du trafic automobile (PTA)	nombre	3.0	2.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0	6.0
AUVERGNE	83	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en PTA	µg/m3	26.0	27.0	24.0	23.0	21.0	20.0	21.0	24.0	21.0	23.0	20.0	20.0	20.0
BASSE NORMANDIE	25	AI05Nombre de capteurs analysant les PM10 en situation de fond urbain (SFU)	nombre	3.0	4.0	5.0	5.0	5.0	6.0	6.0	4.0	7.0	6.0	6.0	6.0	6.0
BASSE NORMANDIE	25	AI05Population des unités urbaines dans lesquelles se trouvent des capteurs analysant les PM10 en SFU	nombre	196743.0	238017.0	261584.0	261584.0	261584.0	346398.0	376221.0	346398.0	376221.0	376221.0	376221.0	376221.0	376221.0
BASSE NORMANDIE	25	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en SFU	µg/m3	20.0	20.0	18.0	20.0	16.0	16.0	17.0	24.0	19.0	20.0	21.0	21.0	18.0
BASSE NORMANDIE	25	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour les PM10 (50 µg/m3 en moyenne sur 24h) en SFU	nombre	33.0	15.0	11.0	35.0	8.0	3.0	16.0	40.0	30.0	35.0	29.0	42.0	34.0
BASSE NORMANDIE	25	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU	nombre	12.7	7.0	2.4	14.6	2.2	0.5	4.3	15.5	10.0	18.2	12.0	25.3	22.8
BASSE NORMANDIE	25	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	12.7	9.3	3.0	18.3	3.7	3.0	6.5	31.0	17.5	18.2	14.4	25.3	22.8
BASSE NORMANDIE	25	AI05Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour les PM10 (80 µg/m3 en moyenne sur 24h) en SFU	nombre	5.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	7.0	5.0	1.0	10.0	6.0
BASSE NORMANDIE	25	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU	nombre	1.7	0.0	0.0	0.0	0.0	0.0	0.0	3.5	1.9	2.2	0.3	4.8	1.3
BASSE NORMANDIE	25	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	2.5	ND	ND	ND	ND	ND	ND	7.0	3.3	2.6	1.0	4.8	1.6
BASSE NORMANDIE	25	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de 50 µg/m3 de PM10 en moyenne journalière en SFU	nombre	18.0	7.0	5.0	23.0	3.0	1.0	9.0	26.0	21.0	22.0	14.0	28.0	23.0
BASSE NORMANDIE	25	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BASSE NORMANDIE	25	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
BASSE NORMANDIE	25	AI05Nombre de capteurs concernés par un dépassement du seuil de protection de la santé humaine pour les PM10 (40 µg/m3 en moyenne annuelle) en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BASSE NORMANDIE	25	AI05Nombre de capteurs analysant les PM10 à proximité du trafic automobile (PTA)	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0
BASSE NORMANDIE	25	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en PTA	µg/m3	ND	ND	ND	ND	ND	ND	ND	ND	27.0	29.0	26.0	24.0	21.0
BOURGOGNE	26	AI05Nombre de capteurs analysant les PM10 en situation de fond urbain (SFU)	nombre	9.0	11.0	12.0	12.0	13.0	13.0	13.0	10.0	12.0	9.0	9.0	9.0	9.0
BOURGOGNE	26	AI05Population des unités urbaines dans lesquelles se trouvent des capteurs analysant les PM10 en SFU	nombre	398878.0	496768.0	531084.0	531084.0	574551.0	574551.0	574551.0	540235.0	574551.0	540235.0	540235.0	540235.0	540235.0
BOURGOGNE	26	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en SFU	µg/m3	19.0	18.0	18.0	19.0	16.0	17.0	19.0	13.0	19.0	21.0	20.0	20.0	19.0
BOURGOGNE	26	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour les PM10 (50 µg/m3 en moyenne sur 24h) en SFU	nombre	37.0	32.0	31.0	42.0	31.0	29.0	43.0	26.0	28.0	46.0	34.0	57.0	52.0
BOURGOGNE	26	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU	nombre	9.2	6.3	8.5	9.8	5.5	4.8	13.2	5.8	10.7	18.7	13.2	19.6	14.3
BOURGOGNE	26	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	11.9	9.9	9.3	10.6	6.5	7.0	14.3	9.7	12.8	18.7	13.2	19.6	16.1
BOURGOGNE	26	AI05Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour les PM10 (80 µg/m3 en moyenne sur 24h) en SFU	nombre	8.0	1.0	6.0	7.0	3.0	0.0	7.0	2.0	5.0	12.0	6.0	11.0	7.0
BOURGOGNE	26	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU	nombre	2.6	0.1	1.8	0.9	0.2	0.0	1.8	0.4	2.1	4.4	0.9	1.8	1.3
BOURGOGNE	26	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	3.8	1.0	3.5	3.7	1.5	ND	3.4	2.0	2.8	5.0	2.0	3.2	2.4
BOURGOGNE	26	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de 50 µg/m3 de PM10 en moyenne journalière en SFU	nombre	20.0	16.0	22.0	28.0	16.0	16.0	31.0	16.0	18.0	28.0	21.0	38.0	34.0
BOURGOGNE	26	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOURGOGNE	26	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
BOURGOGNE	26	AI05Nombre de capteurs concernés par un dépassement du seuil de protection de la santé humaine pour les PM10 (40 µg/m3 en moyenne annuelle) en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOURGOGNE	26	AI05Nombre de capteurs analysant les PM10 à proximité du trafic automobile (PTA)	nombre	1.0	1.0	1.0	1.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	3.0	3.0
BOURGOGNE	26	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en PTA	µg/m3	19.0	ND	21.0	ND	ND	27.0	29.0	ND	24.0	33.0	26.0	25.0	23.0
BRETAGNE	53	AI05Nombre de capteurs analysant les PM10 en situation de fond urbain (SFU)	nombre	1.0	3.0	4.0	5.0	6.0	6.0	7.0	6.0	5.0	5.0	5.0	5.0	5.0
BRETAGNE	53	AI05Population des unités urbaines dans lesquelles se trouvent des capteurs analysant les PM10 en SFU	nombre	199852.0	314212.0	393279.0	393279.0	703951.0	703951.0	797866.0	797866.0	797866.0	797866.0	797866.0	797866.0	797866.0
BRETAGNE	53	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en SFU	µg/m3	ND	15.0	17.0	17.0	15.0	16.0	16.0	22.0	20.0	24.0	25.0	22.0	21.0
BRETAGNE	53	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour les PM10 (50 µg/m3 en moyenne sur 24h) en SFU	nombre	ND	0.0	4.0	16.0	0.0	3.0	1.0	35.0	22.0	36.0	34.0	15.0	33.0
BRETAGNE	53	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU	nombre	ND	0.0	1.5	3.6	0.0	0.5	0.1	19.2	17.0	16.6	22.0	10.8	21.2
BRETAGNE	53	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	2.0	6.0	ND	1.5	1.0	23.0	17.0	20.8	22.0	10.8	21.2
BRETAGNE	53	AI05Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour les PM10 (80 µg/m3 en moyenne sur 24h) en SFU	nombre	ND	0.0	0.0	0.0	0.0	0.0	0.0	5.0	4.0	5.0	1.0	2.0	0.0
BRETAGNE	53	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU	nombre	ND	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.6	1.4	0.2	1.2	0.0
BRETAGNE	53	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	2.0	1.6	2.3	1.0	1.2	ND
BRETAGNE	53	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de 50 µg/m3 de PM10 en moyenne journalière en SFU	nombre	ND	0.0	2.0	8.0	0.0	1.0	0.0	22.0	18.0	21.0	18.0	9.0	18.0
BRETAGNE	53	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU	nombre	ND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRETAGNE	53	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
BRETAGNE	53	AI05Nombre de capteurs concernés par un dépassement du seuil de protection de la santé humaine pour les PM10 (40 µg/m3 en moyenne annuelle) en SFU	nombre	ND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRETAGNE	53	AI05Nombre de capteurs analysant les PM10 à proximité du trafic automobile (PTA)	nombre	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0
BRETAGNE	53	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en PTA	µg/m3	ND	ND	23.0	23.0	ND	ND	ND	27.0	23.0	26.0	24.0	22.0	25.0
CENTRE	24	AI05Nombre de capteurs analysant les PM10 en situation de fond urbain (SFU)	nombre	6.0	10.0	10.0	13.0	13.0	14.0	17.0	13.0	13.0	12.0	12.0	12.0	11.0
CENTRE	24	AI05Population des unités urbaines dans lesquelles se trouvent des capteurs analysant les PM10 en SFU	nombre	698202.0	849829.0	849829.0	916581.0	964886.0	1019329.0	1049341.0	1049341.0	1049341.0	1049341.0	1049341.0	1049341.0	1049341.0
CENTRE	24	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en SFU	µg/m3	ND	ND	18.0	19.0	16.0	16.0	16.0	25.0	24.0	23.0	21.0	22.0	20.0
CENTRE	24	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour les PM10 (50 µg/m3 en moyenne sur 24h) en SFU	nombre	ND	ND	15.0	30.0	13.0	5.0	19.0	45.0	35.0	38.0	26.0	39.0	43.0
CENTRE	24	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU	nombre	ND	ND	4.3	4.8	2.3	0.4	1.6	23.9	12.8	19.7	11.3	20.8	23.5
CENTRE	24	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	4.8	7.9	2.7	1.5	3.4	23.9	12.8	19.7	11.3	22.6	25.9
CENTRE	24	AI05Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour les PM10 (80 µg/m3 en moyenne sur 24h) en SFU	nombre	ND	ND	2.0	1.0	1.0	0.0	0.0	7.0	5.0	4.0	0.0	9.0	4.0
CENTRE	24	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU	nombre	ND	ND	0.2	0.1	0.1	0.0	0.0	3.6	1.6	2.9	0.0	5.1	0.8
CENTRE	24	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	2.0	1.0	1.0	ND	ND	3.6	2.3	2.9	ND	5.5	1.5
CENTRE	24	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de 50 µg/m3 de PM10 en moyenne journalière en SFU	nombre	ND	ND	8.0	17.0	5.0	1.0	9.0	29.0	19.0	23.0	16.0	24.0	29.0
CENTRE	24	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU	nombre	ND	ND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTRE	24	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
CENTRE	24	AI05Nombre de capteurs concernés par un dépassement du seuil de protection de la santé humaine pour les PM10 (40 µg/m3 en moyenne annuelle) en SFU	nombre	ND	ND	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTRE	24	AI05Nombre de capteurs analysant les PM10 à proximité du trafic automobile (PTA)	nombre	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0
CENTRE	24	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en PTA	µg/m3	ND	ND	22.0	25.0	21.0	20.0	19.0	24.0	24.0	24.0	24.0	24.0	25.0
CHAMPAGNE-ARDENNE	21	AI05Nombre de capteurs analysant les PM10 en situation de fond urbain (SFU)	nombre	3.0	4.0	5.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	7.0	8.0	7.0
CHAMPAGNE-ARDENNE	21	AI05Population des unités urbaines dans lesquelles se trouvent des capteurs analysant les PM10 en SFU	nombre	341390.0	341390.0	373582.0	373582.0	373582.0	373582.0	430730.0	430730.0	430730.0	430730.0	491909.0	491909.0	491909.0
CHAMPAGNE-ARDENNE	21	AI05Concentration moyenne annuelle en PM10 (en µg/m3) en SFU	µg/m3	18.0	17.0	20.0	22.0	19.0	19.0	19.0	25.0	23.0	23.0	24.0	26.0	23.0
CHAMPAGNE-ARDENNE	21	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour les PM10 (50 µg/m3 en moyenne sur 24h) en SFU	nombre	3.0	3.0	8.0	18.0	7.0	6.0	12.0	45.0	17.0	34.0	51.0	59.0	57.0
CHAMPAGNE-ARDENNE	21	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU	nombre	2.3	1.0	3.2	8.2	3.0	2.4	5.0	28.8	11.8	18.5	22.0	25.6	30.9
CHAMPAGNE-ARDENNE	21	AI05Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	2.3	2.0	4.0	10.3	3.8	3.0	6.0	28.8	11.8	22.2	22.0	34.2	30.9
CHAMPAGNE-ARDENNE	21	AI05Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour les PM10 (80 µg/m3 en moyenne sur 24h) en SFU	nombre	0.0	0.0	0.0	0.0	1.0	0.0	1.0	8.0	1.0	3.0	2.0	10.0	3.0
CHAMPAGNE-ARDENNE	21	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU	nombre	0.0	0.0	0.0	0.0	0.2	0.0	0.2	4.7	0.2	2.0	0.7	2.8	0.4
CHAMPAGNE-ARDENNE	21	AI05Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	1.0	ND	1.0	5.6	1.0	3.0	1.3	4.4	3.0
CHAMPAGNE-ARDENNE	21	AI05Nombre de jours avec au moins un dépassement sur la région du seuil de 50 µg/m3 de PM10 en moyenne journalière en SFU	nombre	2.0	2.0	4.0	8.0	4.0	1.0	7.0	32.0	11.0	19.0	29.0	40.0	38.0
CHAMPAGNE-ARDENNE	21	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAMPAGNE-ARDENNE	21	AI05Nombre moyen de jours de dépassement du seuil de protection de la santé humaine (en moyenne journalière) par capteur analysant les PM10 en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
