Lieu	N° région, département	Série	Unité	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
LORRAINE	41	BR02Nombre de mouvements d'appareils commerciaux	nombre	11227.0	10397.0	10334.0	10854.0	11848.0	12605.0	13114.0	15159.0	17980.0	15068.0	12333.0	11764.0	11335.0	9939.0	8414.0	6409.0	5970.0	5288.0	6001.0	5823.0
MIDI-PYRENEES	73	BR02Nombre de mouvements d'appareils commerciaux	nombre	49638.0	49765.0	59106.0	71375.0	79745.0	85451.0	92518.0	97063.0	96144.0	92362.0	88304.0	88006.0	90936.0	91467.0	92382.0	91337.0	91202.0	91138.0	97986.0	101228.0
NORD-PAS-DE-CALAIS	31	BR02Nombre de mouvements d'appareils commerciaux	nombre	18911.0	18213.0	18770.0	19619.0	20954.0	21480.0	24992.0	25596.0	24666.0	23893.0	20587.0	19162.0	17732.0	18054.0	19391.0	18839.0	18701.0	17819.0	18916.0	17743.0
PAYS DE LA LOIRE	52	BR02Nombre de mouvements d'appareils commerciaux	nombre	21933.0	22993.0	24840.0	33329.0	40650.0	42316.0	45034.0	46806.0	43209.0	40531.0	41703.0	35056.0	39247.0	41790.0	41064.0	42336.0	40801.0	42812.0	48205.0	50897.0
PICARDIE	22	BR02Nombre de mouvements d'appareils commerciaux	nombre	1045.0	691.0	744.0	590.0	2077.0	3229.0	4348.0	4230.0	4185.0	7064.0	8944.0	10912.0	13177.0	13365.0	15490.0	18127.0	19156.0	21060.0	25387.0	26358.0
POITOU-CHARENTES	54	BR02Nombre de mouvements d'appareils commerciaux	nombre	7780.0	8181.0	9487.0	8452.0	9132.0	9592.0	8491.0	8527.0	8840.0	8031.0	4376.0	5143.0	6481.0	6810.0	6780.0	6996.0	5834.0	5507.0	6588.0	6979.0
PROVENCE-ALPES-COTE D AZUR	93	BR02Nombre de mouvements d'appareils commerciaux	nombre	182788.0	189161.0	207598.0	233962.0	272229.0	307694.0	313029.0	327445.0	310361.0	288079.0	273003.0	261653.0	269270.0	280951.0	300265.0	143628.0	268680.0	263960.0	276916.0	284798.0
RHONE-ALPES	82	BR02Nombre de mouvements d'appareils commerciaux	nombre	83028.0	86366.0	91108.0	99537.0	113100.0	129149.0	134417.0	12397.0	139438.0	129559.0	127315.0	133649.0	137046.0	141855.0	143569.0	27794.0	135476.0	133077.0	135250.0	133584.0
Producteur : MEDDE (DGAC Direction générale de l'aviation civile).
Source : Formulaires trafic.
