Lieu	N° région, département	Série	Unité	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
CHAMPAGNE-ARDENNE	21	ES16Revenu disponible brut	millions d'euros	19943.0	20800.5	21125.1	22281.3	22372.9	23542.3	24992.2	24853.8	24848.2	25115.1
CHAMPAGNE-ARDENNE	21	ES16Revenu disponible brut par habitant	Euros	14863.0	15508.0	15762.0	16634.0	16707.0	17580.0	18665.0	18576.0	18584.0	18809.0
CORSE	94	ES16Excédent brut et revenu mixte	millions d'euros	985.4	1061.3	1160.0	1212.3	1238.1	1339.7	1444.8	1561.9	1532.3	1515.6
CORSE	94	ES16Salaires et traitements bruts	millions d'euros	1875.1	1971.2	2036.2	2142.4	2343.6	2484.7	2638.8	2747.3	2895.2	2993.0
CORSE	94	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	340.8	359.2	381.0	404.4	423.4	464.8	490.1	520.2	547.2	547.3
CORSE	94	ES16Impôts	millions d'euros	472.3	461.8	491.0	527.5	572.6	611.4	620.0	658.4	673.3	693.5
CORSE	94	ES16Prestations en espèces	millions d'euros	1215.9	1248.7	1295.8	1330.1	1342.9	1608.2	1675.4	1784.0	1884.3	1944.6
CORSE	94	ES16Autres	millions d'euros	454.5	469.9	509.4	564.6	603.1	651.0	690.9	674.6	664.6	665.8
CORSE	94	ES16Revenu disponible brut	millions d'euros	3717.8	3930.1	4129.4	4317.5	4531.7	5007.4	5339.8	5589.2	5755.9	5878.2
CORSE	94	ES16Revenu disponible brut par habitant	Euros	13684.0	14211.0	14669.0	15068.0	15541.0	16879.0	17734.0	18366.0	18718.0	18877.0
FRANCHE COMTE	43	ES16Excédent brut et revenu mixte	millions d'euros	3874.4	3943.7	4031.8	4186.3	4341.3	4603.4	4851.2	4746.8	4604.9	4568.5
FRANCHE COMTE	43	ES16Salaires et traitements bruts	millions d'euros	9939.9	10396.1	10649.3	11014.0	11282.3	11386.2	11945.0	12237.7	12032.2	12334.9
FRANCHE COMTE	43	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	1614.0	1699.3	1768.2	1840.1	1781.5	1852.2	1926.7	2012.9	2036.8	2088.1
FRANCHE COMTE	43	ES16Impôts	millions d'euros	2023.1	2061.3	2148.0	2206.2	2314.8	2296.1	2321.9	2422.4	2364.6	2427.4
FRANCHE COMTE	43	ES16Prestations en espèces	millions d'euros	5312.7	5610.6	5831.4	6148.4	6384.3	6522.7	6574.1	7059.8	7330.3	7627.3
FRANCHE COMTE	43	ES16Autres	millions d'euros	1897.7	1970.8	2046.2	2167.7	2200.2	2294.6	2415.2	2138.5	2087.0	2092.0
FRANCHE COMTE	43	ES16Revenu disponible brut	millions d'euros	17387.6	18160.6	18642.5	19470.1	20111.8	20658.6	21536.9	21747.5	21653.0	22107.2
FRANCHE COMTE	43	ES16Revenu disponible brut par habitant	Euros	15400.0	16019.0	16378.0	17033.0	17516.0	17892.0	18553.0	18650.0	18501.0	18833.0
HAUTE NORMANDIE	23	ES16Excédent brut et revenu mixte	millions d'euros	5469.4	5523.1	5749.0	5892.7	6118.6	6306.9	6777.5	7069.8	6616.3	6688.5
HAUTE NORMANDIE	23	ES16Salaires et traitements bruts	millions d'euros	16222.7	16925.1	17409.5	18024.8	18498.3	19280.0	19849.2	20752.0	20541.6	20847.1
HAUTE NORMANDIE	23	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	2568.2	2698.6	2819.3	2934.1	2899.6	3073.5	3169.6	3257.1	3247.1	3347.9
HAUTE NORMANDIE	23	ES16Impôts	millions d'euros	3395.1	3394.3	3525.0	3652.2	3825.7	3879.3	3918.0	4108.2	3962.6	4066.4
HAUTE NORMANDIE	23	ES16Prestations en espèces	millions d'euros	8607.4	9026.6	9375.1	9801.1	10039.9	9874.8	10180.5	10827.6	11441.1	11798.4
HAUTE NORMANDIE	23	ES16Autres	millions d'euros	3114.3	3188.2	3304.8	3463.1	3521.9	3723.4	3923.6	3579.2	3423.7	3438.4
HAUTE NORMANDIE	23	ES16Revenu disponible brut	millions d'euros	27450.5	28570.1	29494.1	30595.4	31453.4	32232.3	33643.2	34863.3	34813.0	35358.1
HAUTE NORMANDIE	23	ES16Revenu disponible brut par habitant	Euros	15320.0	15908.0	16387.0	16958.0	17388.0	17770.0	18505.0	19058.0	18970.0	19212.0
ILE DE FRANCE	11	ES16Excédent brut et revenu mixte	millions d'euros	47912.1	51091.2	50182.2	52569.2	55605.8	58014.6	61689.4	62314.9	57932.8	58695.7
ILE DE FRANCE	11	ES16Salaires et traitements bruts	millions d'euros	156081.4	163310.9	167543.6	173902.0	175351.1	183242.2	194912.3	197973.0	198527.1	203520.0
ILE DE FRANCE	11	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	22851.7	24055.9	25024.5	26028.2	29905.2	32019.8	33454.7	34101.1	34799.5	35382.8
ILE DE FRANCE	11	ES16Impôts	millions d'euros	42593.9	42291.7	42602.2	43359.3	45383.5	47076.0	47800.2	50352.2	46056.1	47286.6
ILE DE FRANCE	11	ES16Prestations en espèces	millions d'euros	50660.6	54003.3	56413.5	58605.8	64225.6	60334.9	63681.0	65289.9	68838.3	71080.1
ILE DE FRANCE	11	ES16Autres	millions d'euros	28662.5	28946.5	28998.1	31023.3	31955.2	34306.6	36899.9	35368.7	33350.9	32891.9
ILE DE FRANCE	11	ES16Revenu disponible brut	millions d'euros	217871.0	231004.3	235510.7	246712.8	251849.0	256802.5	275927.7	276493.2	277793.5	283518.3
ILE DE FRANCE	11	ES16Revenu disponible brut par habitant	Euros	19550.0	20574.0	20823.0	21649.0	21924.0	22204.0	23714.0	23645.0	23617.0	23989.0
LANGUEDOC-ROUSSILLON	91	ES16Excédent brut et revenu mixte	millions d'euros	8721.2	8986.2	9489.5	9823.7	9977.8	10794.7	11327.9	11629.3	11042.6	11077.9
LANGUEDOC-ROUSSILLON	91	ES16Salaires et traitements bruts	millions d'euros	17085.5	17837.1	18345.1	19071.6	20646.1	21734.1	22722.0	23578.5	23779.8	24470.8
LANGUEDOC-ROUSSILLON	91	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	2984.3	3158.5	3342.1	3516.7	3727.3	4000.8	4148.8	4526.9	4591.9	4699.6
LANGUEDOC-ROUSSILLON	91	ES16Impôts	millions d'euros	4198.8	4210.8	4477.1	4665.2	5020.1	5190.0	5324.2	5552.9	5476.5	5642.7
LANGUEDOC-ROUSSILLON	91	ES16Prestations en espèces	millions d'euros	11564.9	12247.8	12812.6	13400.1	13803.0	15330.5	15858.1	16617.1	17716.0	18191.9
LANGUEDOC-ROUSSILLON	91	ES16Autres	millions d'euros	3803.7	4026.5	4267.3	4616.1	4832.5	5171.3	5469.1	4875.6	4832.5	4845.7
LANGUEDOC-ROUSSILLON	91	ES16Revenu disponible brut	millions d'euros	33992.2	35728.3	37095.3	38729.6	40512.0	43839.8	45904.1	46620.7	47302.5	48244.0
LANGUEDOC-ROUSSILLON	91	ES16Revenu disponible brut par habitant	Euros	14336.0	14846.0	15189.0	15624.0	16102.0	17209.0	17832.0	17957.0	18030.0	18215.0
LIMOUSIN	74	ES16Excédent brut et revenu mixte	millions d'euros	2970.1	2973.7	3074.2	3132.1	3262.6	3487.0	3562.6	3627.7	3428.1	3449.1
LIMOUSIN	74	ES16Salaires et traitements bruts	millions d'euros	5516.1	5775.5	5926.4	6135.1	6480.4	6665.5	6661.0	6984.8	6876.9	6995.5
LIMOUSIN	74	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	970.8	1021.8	1067.7	1110.9	1145.6	1204.8	1208.5	1276.1	1276.0	1320.2
LIMOUSIN	74	ES16Impôts	millions d'euros	1254.9	1230.6	1291.1	1339.1	1419.3	1465.5	1439.1	1513.0	1463.1	1505.0
LIMOUSIN	74	ES16Prestations en espèces	millions d'euros	3779.6	3894.4	3997.6	4180.9	4408.8	4825.1	5003.2	5180.1	5239.9	5523.3
LIMOUSIN	74	ES16Autres	millions d'euros	1173.8	1225.6	1294.5	1395.0	1427.5	1497.7	1578.1	1456.8	1375.0	1410.5
LIMOUSIN	74	ES16Revenu disponible brut	millions d'euros	11213.9	11616.8	11933.9	12393.1	13014.4	13805.0	14157.3	14460.3	14180.8	14553.2
LIMOUSIN	74	ES16Revenu disponible brut par habitant	Euros	15634.0	16134.0	16515.0	17078.0	17847.0	18809.0	19183.0	19508.0	19086.0	19571.0
LORRAINE	41	ES16Excédent brut et revenu mixte	millions d'euros	7264.2	7161.1	7301.4	7651.1	7846.4	8270.6	8743.9	8817.5	8318.9	8366.7
LORRAINE	41	ES16Salaires et traitements bruts	millions d'euros	20207.6	21181.4	21582.0	22271.3	22571.3	24037.6	24234.0	24498.5	24411.9	24873.3
LORRAINE	41	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	3231.8	3405.2	3517.3	3657.1	3480.9	3760.4	3808.3	3994.3	4008.8	4119.1
LORRAINE	41	ES16Impôts	millions d'euros	4068.8	4160.2	4290.5	4441.0	4640.6	4771.5	4778.8	4919.0	4763.6	4892.3
LORRAINE	41	ES16Prestations en espèces	millions d'euros	11046.3	11547.4	11952.7	12482.3	12641.6	13211.8	13220.8	13661.3	14461.8	14903.2
LORRAINE	41	ES16Autres	millions d'euros	3777.7	3872.9	3992.3	4320.1	4433.3	4643.3	4884.6	4275.5	3960.5	4054.0
LORRAINE	41	ES16Revenu disponible brut	millions d'euros	34995.2	36197.4	37020.6	38626.7	39371.1	41631.4	42496.2	42339.5	42380.7	43185.8
LORRAINE	41	ES16Revenu disponible brut par habitant	Euros	15078.0	15572.0	15909.0	16576.0	16868.0	17808.0	18157.0	18030.0	18025.0	18358.0
MIDI-PYRENEES	73	ES16Excédent brut et revenu mixte	millions d'euros	9909.8	10087.7	10407.0	10854.6	11365.6	12169.0	12882.8	12889.8	12313.3	12317.8
MIDI-PYRENEES	73	ES16Salaires et traitements bruts	millions d'euros	21802.0	22779.0	23341.5	24202.9	26357.9	28019.4	29150.9	29877.8	30431.4	31178.3
MIDI-PYRENEES	73	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	3774.8	3988.0	4190.5	4370.5	4600.9	4958.0	5113.8	5493.2	5607.8	5719.0
MIDI-PYRENEES	73	ES16Impôts	millions d'euros	4906.2	4915.2	5176.3	5387.1	5838.3	6080.4	6127.5	6411.0	6291.7	6463.0
MIDI-PYRENEES	73	ES16Prestations en espèces	millions d'euros	12323.4	12951.8	13480.9	14090.1	14496.4	15605.2	16484.0	17178.3	18274.7	18784.3
MIDI-PYRENEES	73	ES16Autres	millions d'euros	4414.7	4678.3	4915.0	5298.2	5510.1	5874.7	6177.3	5600.3	5429.3	5465.2
MIDI-PYRENEES	73	ES16Revenu disponible brut	millions d'euros	39768.9	41593.6	42777.6	44688.2	47290.8	50629.9	53453.7	53642.0	54549.2	55563.6
MIDI-PYRENEES	73	ES16Revenu disponible brut par habitant	Euros	15147.0	15647.0	15896.0	16397.0	17135.0	18124.0	18929.0	18819.0	18967.0	19203.0
NORD-PAS-DE-CALAIS	31	ES16Excédent brut et revenu mixte	millions d'euros	9941.4	9993.5	10334.3	10584.0	10955.8	11293.2	12044.2	12019.3	11316.4	11402.4
NORD-PAS-DE-CALAIS	31	ES16Salaires et traitements bruts	millions d'euros	32036.8	33291.6	34170.1	35247.9	36630.7	37979.7	39225.9	41522.3	41123.3	41727.2
NORD-PAS-DE-CALAIS	31	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	5043.2	5304.9	5532.5	5740.9	5893.6	6251.3	6424.8	6680.0	6762.4	6923.0
NORD-PAS-DE-CALAIS	31	ES16Impôts	millions d'euros	6666.6	6681.4	7005.1	7178.2	7598.8	7718.0	7826.3	8299.5	8003.7	8225.7
NORD-PAS-DE-CALAIS	31	ES16Prestations en espèces	millions d'euros	16389.0	17097.3	17629.5	18400.5	19021.6	21494.7	22310.8	21900.9	23571.1	24091.0
NORD-PAS-DE-CALAIS	31	ES16Autres	millions d'euros	6104.8	6375.2	6591.2	6996.4	7122.3	7495.5	7893.1	6841.3	6382.0	6533.8
NORD-PAS-DE-CALAIS	31	ES16Revenu disponible brut	millions d'euros	52762.2	54771.3	56187.5	58309.7	60238.0	64293.8	67222.9	67304.3	67626.7	68605.7
NORD-PAS-DE-CALAIS	31	ES16Revenu disponible brut par habitant	Euros	13179.0	13669.0	14013.0	14530.0	14995.0	15993.0	16714.0	16706.0	16763.0	16978.0
PAYS DE LA LOIRE	52	ES16Excédent brut et revenu mixte	millions d'euros	11562.5	11594.6	12032.2	12476.4	13055.2	13745.8	14651.9	14481.5	13874.8	13855.6
PAYS DE LA LOIRE	52	ES16Salaires et traitements bruts	millions d'euros	27915.5	28806.7	29516.3	30659.4	32378.8	34510.9	35681.8	37444.0	37891.7	38989.8
PAYS DE LA LOIRE	52	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	4710.3	4949.9	5164.4	5393.5	5653.0	6093.7	6267.9	6369.0	6765.1	6768.9
PAYS DE LA LOIRE	52	ES16Impôts	millions d'euros	6069.1	5995.9	6305.2	6551.2	6994.9	7257.5	7371.7	7746.8	7542.2	7755.1
PAYS DE LA LOIRE	52	ES16Prestations en espèces	millions d'euros	15386.6	16342.8	17026.6	17933.5	18648.3	20210.7	20798.2	22179.1	22811.0	23850.0
PAYS DE LA LOIRE	52	ES16Autres	millions d'euros	5489.0	5767.5	6003.5	6452.5	6694.6	7130.1	7516.3	6693.8	6474.8	6503.8
PAYS DE LA LOIRE	52	ES16Revenu disponible brut	millions d'euros	49574.2	51565.8	53109.0	55577.1	58129.0	62246.3	65008.6	66682.6	66745.0	68675.2
PAYS DE LA LOIRE	52	ES16Revenu disponible brut par habitant	Euros	15031.0	15480.0	15789.0	16358.0	16933.0	17957.0	18592.0	18919.0	18786.0	19149.0
PICARDIE	22	ES16Excédent brut et revenu mixte	millions d'euros	5903.5	5953.0	6191.5	6398.6	6582.3	6898.2	7390.4	7375.6	6971.6	7010.5
PICARDIE	22	ES16Salaires et traitements bruts	millions d'euros	16559.9	17272.8	17673.3	18326.1	19123.0	19583.2	19449.1	21440.4	20933.3	21091.1
PICARDIE	22	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	2596.5	2724.3	2835.6	2947.4	2864.4	2996.3	3018.8	3234.4	3193.9	3311.9
PICARDIE	22	ES16Impôts	millions d'euros	3581.6	3494.3	3627.5	3758.1	3976.9	4079.3	4017.1	4291.4	4151.8	4264.9
PICARDIE	22	ES16Prestations en espèces	millions d'euros	8533.8	8935.3	9294.1	9724.4	9898.3	9938.5	10538.3	11152.9	11788.6	12157.8
PICARDIE	22	ES16Autres	millions d'euros	3168.5	3267.1	3374.8	3571.7	3610.0	3800.2	4002.1	3583.5	3270.7	3383.0
PICARDIE	22	ES16Revenu disponible brut	millions d'euros	27987.6	29209.6	30070.6	31315.3	32372.3	33144.5	34344.0	36026.6	35618.5	36065.6
PICARDIE	22	ES16Revenu disponible brut par habitant	Euros	14954.0	15564.0	15984.0	16602.0	17113.0	17469.0	18057.0	18873.0	18619.0	18810.0
POITOU-CHARENTES	54	ES16Excédent brut et revenu mixte	millions d'euros	6384.1	6495.6	6717.4	6893.2	7238.1	7713.5	8274.8	8297.0	7789.6	7862.0
POITOU-CHARENTES	54	ES16Salaires et traitements bruts	millions d'euros	12950.4	13500.9	13846.5	14353.8	14919.3	15683.6	16112.2	16853.4	16851.7	17266.3
POITOU-CHARENTES	54	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	2266.8	2387.4	2502.3	2601.8	2836.8	3033.4	3104.3	3295.7	3351.8	3430.7
POITOU-CHARENTES	54	ES16Impôts	millions d'euros	2926.2	2866.1	3011.8	3131.6	3327.3	3446.2	3464.6	3690.9	3570.5	3670.2
POITOU-CHARENTES	54	ES16Prestations en espèces	millions d'euros	8065.9	8485.7	8813.0	9274.2	9822.3	10866.0	11114.9	11836.1	12476.7	12885.0
POITOU-CHARENTES	54	ES16Autres	millions d'euros	2682.6	2835.1	2959.7	3198.6	3324.6	3504.4	3705.8	3475.2	3316.6	3366.5
POITOU-CHARENTES	54	ES16Revenu disponible brut	millions d'euros	24890.0	26063.8	26822.5	27986.4	29140.2	31287.9	32638.8	33475.1	33512.3	34278.9
POITOU-CHARENTES	54	ES16Revenu disponible brut par habitant	Euros	14919.0	15510.0	15850.0	16418.0	16965.0	18065.0	18708.0	19056.0	18983.0	19309.0
PROVENCE-ALPES-COTE D AZUR	93	ES16Excédent brut et revenu mixte	millions d'euros	17601.3	18075.8	18845.9	19720.9	20320.5	21579.5	22633.4	23532.8	22086.1	22285.3
PROVENCE-ALPES-COTE D AZUR	93	ES16Salaires et traitements bruts	millions d'euros	39603.2	41338.5	42494.3	44053.6	46629.1	48272.4	49757.5	52196.8	52979.2	53930.8
PROVENCE-ALPES-COTE D AZUR	93	ES16Cotisations sociales des salariés et des non-salariés	millions d'euros	6593.0	6974.4	7351.7	7696.6	8002.3	8528.0	8749.2	9508.2	9776.0	9933.6
PROVENCE-ALPES-COTE D AZUR	93	ES16Impôts	millions d'euros	10138.5	10165.0	10694.0	11131.9	11904.2	12296.3	12398.0	13103.2	12816.9	13197.6
PROVENCE-ALPES-COTE D AZUR	93	ES16Prestations en espèces	millions d'euros	23018.8	24319.8	25435.9	26385.2	27136.4	28000.1	29098.1	30156.6	31842.0	32853.9
PROVENCE-ALPES-COTE D AZUR	93	ES16Autres	millions d'euros	9038.9	9412.5	9839.1	10627.1	10926.1	11602.2	12326.8	11056.6	10887.1	10883.5
