Lieu	N° région, département	Série	Unité	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
AQUITAINE	72	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour l'ozone (180 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	2.0	3.0	15.0	ND	9.0	5.0	0.0	0.0	1.0	0.0	0.0	3.0
AQUITAINE	72	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU	nombre	0.0	0.5	0.4	2.2	ND	0.9	0.5	0.0	0.0	0.3	0.0	0.0	0.3
AQUITAINE	72	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	1.3	1.7	3.2	ND	2.2	1.1	ND	ND	1.0	ND	ND	1.0
AQUITAINE	72	AI02Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour l'ozone (240 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	0.0	0.0	0.0	ND	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
AQUITAINE	72	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	0.0	ND	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0
AQUITAINE	72	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	1.0	ND	ND	ND
AQUITAINE	72	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de 120 µg/m3 d'ozone en moyenne sur 8 heures consécutives en SFU	nombre	15.0	36.0	30.0	84.0	ND	72.0	48.0	23.0	27.0	30.0	41.0	45.0	33.0
AQUITAINE	72	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	11.2	ND	5.5	0.0	0.0	0.0	0.0	0.1	0.1	0.0
AQUITAINE	72	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	18.3	ND	16.4	ND	ND	ND	ND	2.0	1.0	ND
AQUITAINE	72	AI02Nombre de capteurs analysant l'ozone en zones rurales (ZR)	nombre	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
AQUITAINE	72	AI02Concentration moyenne annuelle en ozone (en µg/m3) en ZR	µg/m3	75.0	72.0	76.0	96.0	ND	73.0	74.0	70.0	68.0	66.0	72.0	71.0	69.0
AUVERGNE	83	AI02Nombre de capteurs analysant l'ozone en situation de fond urbain (SFU)	nombre	13.0	14.0	14.0	13.0	14.0	14.0	14.0	14.0	14.0	14.0	14.0	13.0	13.0
AUVERGNE	83	AI02Population des unités urbaines dans lesquelles se trouvent des capteurs analysant l'ozone en SFU	nombre	405529.0	405529.0	405529.0	405529.0	437610.0	437610.0	437610.0	437610.0	437610.0	437610.0	437610.0	437610.0	437610.0
AUVERGNE	83	AI02Concentration moyenne annuelle en ozone (en µg/m3) en SFU	µg/m3	53.0	51.0	56.0	60.0	54.0	55.0	53.0	49.0	51.0	54.0	54.0	52.0	53.0
AUVERGNE	83	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour l'ozone (180 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	3.0	0.0	19.0	4.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0
AUVERGNE	83	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU	nombre	0.0	0.3	0.0	3.6	0.9	0.2	0.2	0.0	0.0	0.0	0.1	0.0	0.0
AUVERGNE	83	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	2.0	ND	5.9	2.6	1.5	1.5	ND	ND	ND	1.0	ND	ND
AUVERGNE	83	AI02Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour l'ozone (240 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AUVERGNE	83	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AUVERGNE	83	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
AUVERGNE	83	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de 120 µg/m3 d'ozone en moyenne sur 8 heures consécutives en SFU	nombre	31.0	45.0	47.0	99.0	57.0	60.0	47.0	22.0	17.0	21.0	42.0	42.0	15.0
AUVERGNE	83	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU	nombre	0.0	1.4	0.5	26.8	4.0	3.0	1.8	0.0	0.0	0.0	0.4	1.2	0.0
AUVERGNE	83	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	10.0	2.3	29.1	14.0	10.5	5.0	ND	ND	ND	2.5	16.0	ND
AUVERGNE	83	AI02Nombre de capteurs analysant l'ozone en zones rurales (ZR)	nombre	0.0	1.0	2.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0
AUVERGNE	83	AI02Concentration moyenne annuelle en ozone (en µg/m3) en ZR	µg/m3	ND	ND	66.0	72.0	65.0	73.0	72.0	65.0	65.0	68.0	68.0	68.0	67.0
BASSE NORMANDIE	25	AI02Nombre de capteurs analysant l'ozone en situation de fond urbain (SFU)	nombre	4.0	6.0	7.0	8.0	8.0	7.0	7.0	7.0	8.0	7.0	7.0	7.0	7.0
BASSE NORMANDIE	25	AI02Population des unités urbaines dans lesquelles se trouvent des capteurs analysant l'ozone en SFU	nombre	226566.0	352654.0	376221.0	412198.0	412198.0	412198.0	412198.0	412198.0	412198.0	412198.0	412198.0	412198.0	412198.0
BASSE NORMANDIE	25	AI02Concentration moyenne annuelle en ozone (en µg/m3) en SFU	µg/m3	36.0	38.0	45.0	47.0	49.0	50.0	51.0	46.0	49.0	48.0	52.0	51.0	51.0
BASSE NORMANDIE	25	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour l'ozone (180 µg/m3 en moyenne sur 1 heure) en SFU	nombre	1.0	1.0	0.0	6.0	0.0	3.0	6.0	0.0	0.0	1.0	1.0	1.0	2.0
BASSE NORMANDIE	25	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU	nombre	0.3	0.5	0.0	1.4	0.0	0.7	1.9	0.0	0.0	0.1	0.1	0.1	1.0
BASSE NORMANDIE	25	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	1.0	1.0	ND	2.2	ND	1.3	2.2	ND	ND	1.0	1.0	1.0	1.4
BASSE NORMANDIE	25	AI02Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour l'ozone (240 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BASSE NORMANDIE	25	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BASSE NORMANDIE	25	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
BASSE NORMANDIE	25	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de 120 µg/m3 d'ozone en moyenne sur 8 heures consécutives en SFU	nombre	2.0	22.0	10.0	43.0	13.0	21.0	33.0	12.0	12.0	6.0	19.0	12.0	11.0
BASSE NORMANDIE	25	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	2.0	0.0	0.0	0.7	0.0	0.0	0.0	0.0	0.0	0.0
BASSE NORMANDIE	25	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	8.0	ND	ND	5.0	ND	ND	ND	ND	ND	ND
BASSE NORMANDIE	25	AI02Nombre de capteurs analysant l'ozone en zones rurales (ZR)	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
BASSE NORMANDIE	25	AI02Concentration moyenne annuelle en ozone (en µg/m3) en ZR	µg/m3	ND	ND	ND	ND	ND	ND	ND	ND	65.0	62.0	68.0	69.0	65.0
BOURGOGNE	26	AI02Nombre de capteurs analysant l'ozone en situation de fond urbain (SFU)	nombre	10.0	14.0	14.0	14.0	15.0	15.0	15.0	15.0	14.0	13.0	12.0	12.0	12.0
BOURGOGNE	26	AI02Population des unités urbaines dans lesquelles se trouvent des capteurs analysant l'ozone en SFU	nombre	398878.0	531084.0	531084.0	531084.0	574551.0	574551.0	574551.0	574551.0	574551.0	574551.0	574551.0	574551.0	574551.0
BOURGOGNE	26	AI02Concentration moyenne annuelle en ozone (en µg/m3) en SFU	µg/m3	39.0	41.0	45.0	53.0	45.0	47.0	46.0	43.0	45.0	48.0	49.0	47.0	49.0
BOURGOGNE	26	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour l'ozone (180 µg/m3 en moyenne sur 1 heure) en SFU	nombre	3.0	5.0	5.0	31.0	8.0	8.0	15.0	0.0	1.0	0.0	2.0	0.0	1.0
BOURGOGNE	26	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU	nombre	0.3	1.0	1.1	8.6	1.4	1.1	2.7	0.0	0.1	0.0	0.2	0.0	0.3
BOURGOGNE	26	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	3.0	1.8	1.5	10.1	2.6	2.0	4.6	ND	1.0	ND	2.0	ND	1.0
BOURGOGNE	26	AI02Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour l'ozone (240 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	0.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOURGOGNE	26	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BOURGOGNE	26	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	1.5	1.0	1.0	ND	ND	ND	ND	ND	ND	ND
BOURGOGNE	26	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de 120 µg/m3 d'ozone en moyenne sur 8 heures consécutives en SFU	nombre	37.0	46.0	36.0	113.0	46.0	41.0	53.0	34.0	32.0	30.0	36.0	40.0	21.0
BOURGOGNE	26	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU	nombre	0.8	1.6	0.3	30.8	1.1	0.7	4.7	0.0	0.0	0.0	0.5	0.2	0.0
BOURGOGNE	26	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	4.0	11.0	4.0	35.9	5.3	3.3	8.8	ND	ND	ND	6.0	2.0	ND
BOURGOGNE	26	AI02Nombre de capteurs analysant l'ozone en zones rurales (ZR)	nombre	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0
BOURGOGNE	26	AI02Concentration moyenne annuelle en ozone (en µg/m3) en ZR	µg/m3	63.0	58.0	58.0	74.0	61.0	65.0	67.0	58.0	59.0	66.0	63.0	65.0	64.0
BRETAGNE	53	AI02Nombre de capteurs analysant l'ozone en situation de fond urbain (SFU)	nombre	8.0	11.0	11.0	12.0	12.0	13.0	13.0	13.0	13.0	12.0	13.0	13.0	13.0
BRETAGNE	53	AI02Population des unités urbaines dans lesquelles se trouvent des capteurs analysant l'ozone en SFU	nombre	718799.0	920551.0	920551.0	946764.0	946764.0	972602.0	972602.0	972602.0	972602.0	946389.0	946389.0	946389.0	946389.0
BRETAGNE	53	AI02Concentration moyenne annuelle en ozone (en µg/m3) en SFU	µg/m3	48.0	50.0	56.0	57.0	52.0	53.0	54.0	51.0	53.0	53.0	53.0	53.0	54.0
BRETAGNE	53	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour l'ozone (180 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	0.0	0.0	6.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0
BRETAGNE	53	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	1.9	0.0	0.3	1.1	0.0	0.0	0.0	0.0	0.0	0.1
BRETAGNE	53	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	2.6	ND	1.3	1.6	ND	ND	ND	ND	ND	1.0
BRETAGNE	53	AI02Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour l'ozone (240 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
BRETAGNE	53	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	0.3	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
BRETAGNE	53	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	1.0	ND	ND	1.0	ND	ND	ND	ND	ND	ND
BRETAGNE	53	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de 120 µg/m3 d'ozone en moyenne sur 8 heures consécutives en SFU	nombre	6.0	24.0	19.0	51.0	18.0	20.0	24.0	16.0	10.0	11.0	16.0	19.0	11.0
BRETAGNE	53	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	2.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BRETAGNE	53	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	6.6	ND	ND	ND	ND	ND	ND	ND	ND	ND
BRETAGNE	53	AI02Nombre de capteurs analysant l'ozone en zones rurales (ZR)	nombre	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0
BRETAGNE	53	AI02Concentration moyenne annuelle en ozone (en µg/m3) en ZR	µg/m3	53.0	53.0	59.0	62.0	53.0	57.0	54.0	55.0	61.0	ND	51.0	54.0	ND
CENTRE	24	AI02Nombre de capteurs analysant l'ozone en situation de fond urbain (SFU)	nombre	13.0	14.0	15.0	17.0	17.0	19.0	21.0	19.0	20.0	19.0	19.0	19.0	21.0
CENTRE	24	AI02Population des unités urbaines dans lesquelles se trouvent des capteurs analysant l'ozone en SFU	nombre	849829.0	916581.0	916581.0	964886.0	964886.0	1189361.0	1222959.0	1219373.0	1222959.0	1222959.0	1222959.0	1222959.0	1327534.0
CENTRE	24	AI02Concentration moyenne annuelle en ozone (en µg/m3) en SFU	µg/m3	48.0	50.0	49.0	54.0	49.0	50.0	53.0	48.0	50.0	50.0	52.0	52.0	51.0
CENTRE	24	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour l'ozone (180 µg/m3 en moyenne sur 1 heure) en SFU	nombre	2.0	7.0	0.0	24.0	2.0	5.0	13.0	0.0	1.0	5.0	2.0	1.0	1.0
CENTRE	24	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU	nombre	0.2	1.5	0.0	5.5	0.2	0.4	1.7	0.0	0.3	0.9	0.1	0.1	0.1
CENTRE	24	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	1.0	2.6	ND	7.2	1.0	1.8	2.6	ND	1.0	2.0	1.0	1.0	1.0
CENTRE	24	AI02Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour l'ozone (240 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTRE	24	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CENTRE	24	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	2.0	ND	ND	ND	ND	ND	ND	ND	ND	ND
CENTRE	24	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de 120 µg/m3 d'ozone en moyenne sur 8 heures consécutives en SFU	nombre	28.0	50.0	30.0	81.0	33.0	34.0	52.0	36.0	26.0	20.0	32.0	35.0	21.0
CENTRE	24	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU	nombre	0.0	3.6	0.0	22.2	0.2	0.0	7.7	0.0	0.0	0.0	0.0	0.0	0.0
CENTRE	24	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	5.0	ND	29.0	3.0	ND	8.5	ND	ND	ND	ND	ND	ND
CENTRE	24	AI02Nombre de capteurs analysant l'ozone en zones rurales (ZR)	nombre	1.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0
CENTRE	24	AI02Concentration moyenne annuelle en ozone (en µg/m3) en ZR	µg/m3	51.0	48.0	45.0	57.0	48.0	46.0	54.0	48.0	50.0	50.0	50.0	52.0	51.0
CHAMPAGNE-ARDENNE	21	AI02Nombre de capteurs analysant l'ozone en situation de fond urbain (SFU)	nombre	7.0	9.0	9.0	9.0	9.0	10.0	11.0	11.0	11.0	12.0	12.0	9.0	8.0
CHAMPAGNE-ARDENNE	21	AI02Population des unités urbaines dans lesquelles se trouvent des capteurs analysant l'ozone en SFU	nombre	341390.0	398538.0	430730.0	430730.0	430730.0	430730.0	430730.0	430730.0	430730.0	491909.0	491909.0	491909.0	491909.0
CHAMPAGNE-ARDENNE	21	AI02Concentration moyenne annuelle en ozone (en µg/m3) en SFU	µg/m3	40.0	40.0	43.0	49.0	43.0	44.0	44.0	42.0	44.0	45.0	46.0	46.0	44.0
CHAMPAGNE-ARDENNE	21	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour l'ozone (180 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	1.0	1.0	11.0	2.0	4.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0
CHAMPAGNE-ARDENNE	21	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU	nombre	0.0	0.2	0.1	5.0	0.3	0.5	0.5	0.1	0.0	0.0	0.1	0.0	0.5
CHAMPAGNE-ARDENNE	21	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	1.0	1.0	5.6	1.5	1.3	1.5	1.0	ND	ND	1.0	ND	1.0
CHAMPAGNE-ARDENNE	21	AI02Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour l'ozone (240 µg/m3 en moyenne sur 1 heure) en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAMPAGNE-ARDENNE	21	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAMPAGNE-ARDENNE	21	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
CHAMPAGNE-ARDENNE	21	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de 120 µg/m3 d'ozone en moyenne sur 8 heures consécutives en SFU	nombre	9.0	30.0	20.0	74.0	25.0	25.0	27.0	20.0	19.0	12.0	24.0	24.0	11.0
CHAMPAGNE-ARDENNE	21	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU	nombre	0.0	0.0	0.0	18.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CHAMPAGNE-ARDENNE	21	AI02Nombre moyen de jours de dépassement du seuil de protection de la santé humaine par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	20.4	ND	ND	ND	ND	ND	ND	ND	ND	ND
CHAMPAGNE-ARDENNE	21	AI02Nombre de capteurs analysant l'ozone en zones rurales (ZR)	nombre	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CHAMPAGNE-ARDENNE	21	AI02Concentration moyenne annuelle en ozone (en µg/m3) en ZR	µg/m3	54.0	58.0	58.0	65.0	58.0	56.0	58.0	56.0	56.0	56.0	55.0	56.0	54.0
CORSE	94	AI02Nombre de capteurs analysant l'ozone en situation de fond urbain (SFU)	nombre	0.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	4.0	4.0	4.0	4.0	4.0
CORSE	94	AI02Population des unités urbaines dans lesquelles se trouvent des capteurs analysant l'ozone en SFU	nombre	ND	ND	ND	ND	ND	ND	130651.0	130651.0	130651.0	130651.0	130651.0	130651.0	130651.0
CORSE	94	AI02Concentration moyenne annuelle en ozone (en µg/m3) en SFU	µg/m3	ND	ND	ND	ND	ND	ND	ND	65.0	66.0	68.0	69.0	69.0	69.0
CORSE	94	AI02Nombre de jours avec au moins un dépassement sur la région du seuil de recommandation et d'information pour l'ozone (180 µg/m3 en moyenne sur 1 heure) en SFU	nombre	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0	0.0
CORSE	94	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU	nombre	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0	0.0
CORSE	94	AI02Nombre moyen de jours de dépassement du seuil de recommandation et d'information par capteur analysant l'ozone en SFU et ayant dépassé le seuil	nombre	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND	ND
CORSE	94	AI02Nombre de jours avec au moins un dépassement sur la région du seuil d'alerte pour l'ozone (240 µg/m3 en moyenne sur 1 heure) en SFU	nombre	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0	0.0
CORSE	94	AI02Nombre moyen de jours de dépassement du seuil d'alerte par capteur analysant l'ozone en SFU	nombre	ND	ND	ND	ND	ND	ND	ND	0.0	0.0	0.0	0.0	0.0	0.0
